Setting	Backbone	Method	Metric	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
with GT	Qwen3.5-9B	StepFinder	mrr					
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	step@1	41.27	33.33	60.30	32.56	15.94
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	step@3	74.07	47.13	77.77	54.26	26.09
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	step@5	88.89	52.87	84.65	81.40	36.23
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	agent@1	57.14	67.82	75.10	61.24	60.87
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	agent@3	93.65	72.41	84.65	88.37	89.13
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	agent@5	99.47	77.01	88.28	96.90	92.03
with GT	Qwen3.5-9B	SOAP (w/o rescoring)	mrr	60.07	42.73	71.04	50.60	26.84
with GT	Qwen3.5-9B	SOAP	step@1	43.39	34.48	60.59	36.43	21.01
with GT	Qwen3.5-9B	SOAP	step@3	64.55	45.98	77.87	63.57	31.16
with GT	Qwen3.5-9B	SOAP	step@5	83.60	51.72	85.09	85.27	36.23
with GT	Qwen3.5-9B	SOAP	agent@1	59.26	67.82	75.33	63.57	63.04
with GT	Qwen3.5-9B	SOAP	agent@3	88.89	70.11	84.86	90.70	87.68
with GT	Qwen3.5-9B	SOAP	agent@5	95.77	73.56	88.47	96.90	92.03
with GT	Qwen3.5-9B	SOAP	mrr	59.69	42.85	71.30	54.95	31.10
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	step@1					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	step@3					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	step@5					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	agent@1					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	agent@3					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	agent@5					
with GT	DeepSeek-R1-Distill-Llama-8B	OAT	mrr					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	step@1					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	step@3					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	step@5					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	agent@1					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	agent@3					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	agent@5					
with GT	DeepSeek-R1-Distill-Llama-8B	StepFinder	mrr					
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	step@1	40.21	29.89	64.81	41.09	35.51
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	step@3	71.43	43.68	80.19	66.67	42.03
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	step@5	92.06	62.07	86.59	80.62	51.45
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	agent@1	58.20	65.52	76.57	64.34	64.49
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	agent@3	93.65	73.56	85.87	94.57	89.86
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	agent@5	99.47	80.46	90.54	96.90	96.38
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP (w/o rescoring)	mrr	59.36	43.29	74.35	57.52	43.26
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	step@1	44.97	29.89	65.19	42.64	36.96
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	step@3	64.55	43.68	80.62	71.32	42.03
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	step@5	86.24	62.07	86.94	80.62	50.00
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	agent@1	61.38	65.52	76.72	65.89	64.49
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	agent@3	91.01	73.56	87.17	94.57	83.33
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	agent@5	98.41	80.46	91.55	96.90	93.48
with GT	DeepSeek-R1-Distill-Llama-8B	SOAP	mrr	60.32	43.29	74.79	58.92	44.06
