setting	backbone	dataset	subset	seeds	position	band	attention band	gamma	w	step_acc_test	agent_acc_test
without GT	qwen3.5-27b	ww	hand-crafted	13,14,15	act/63_normed	[0, 4)	8-12	0.1	all	34.48	68.97
without GT	qwen3.5-9b	ww	algorithm-generated	3,4,5	act/27	[1, 7)	0-2	0.6	1	47.62	60.32
without GT	qwen3.5-9b	ww	hand-crafted	13,14,15	act/31	[0, 5)	4-6	0.1	2	34.48	67.82
with GT	deepseek-8b	correct-error	arc	17,18,19	act/13	[0, 2)	8-16	0.0	all	87.50	88.16
with GT	deepseek-8b	correct-error	gaia	17,18,19	act/13	[0, 4)	8-16	0.0	all	72.00	86.67
with GT	deepseek-8b	correct-error	hotpot	17,18,19	act/16	[0, 4)	8-16	0.0	all	53.17	70.82
with GT	deepseek-8b	correct-error	math500	17,18,19	act/15	[1, 3)	8-16	0.0	all	62.45	61.60
with GT	deepseek-8b	correct-error	mmlu_pro	17,18,19	act/7	[0, 2)	8-16	0.0	all	79.71	84.06
with GT	deepseek-8b	correct-error	musique	17,18,19	act/12	[0, 3)	8-16	0.0	all	46.37	75.85
with GT	deepseek-8b	correct-error	wikimqa	17,18,19	act/12	[0, 3)	0-8	0.1	1	55.13	69.85
with GT	qwen3.5-9b	correct-error	arc	17,18,19	embed	[1, 3)	0-2	0.1	1	81.80	86.40
with GT	qwen3.5-9b	correct-error	gaia	17,18,19	act/27	[1, 7)	6-8	0.1	5	68.00	84.00
with GT	qwen3.5-9b	correct-error	hotpot	17,18,19	act/3	[1, 3)	6-8	0.0	all	45.21	70.13
with GT	qwen3.5-9b	correct-error	math500	17,18,19	act/7	[0, 20)	6-8	0.0	all	62.45	61.18
with GT	qwen3.5-9b	correct-error	mmlu_pro	17,18,19	act/3	[0, 20)	6-8	0.0	all	71.01	80.43
with GT	qwen3.5-9b	correct-error	musique	17,18,19	act/3	[1, 3)	6-8	0.0	all	44.87	74.79
with GT	qwen3.5-9b	correct-error	wikimqa	17,18,19	act/15	[1, 3)	6-8	0.1	1	50.77	70.39
with GT	deepseek-8b	traceelephant	captain	2,3,4	act/29	[0, 11)	24-32	0.1	2	42.64	65.89
with GT	deepseek-8b	traceelephant	magentic	9,10,11	ens-mid3	[0, 9)	24-32	0.4	2	36.96	64.49
with GT	qwen3.5-9b	traceelephant	captain	2,3,4	act/23	[0, 7)	2-4	0.2	2	36.43	63.57
with GT	qwen3.5-9b	traceelephant	magentic	9,10,11	embed	[1, 18)	6-8	0.8	4	21.01	63.04
with GT	deepseek-8b	ww	algorithm-generated	38,39,40	act/30	[1, 16)	0-8	0.8	3	44.97	61.38
with GT	deepseek-8b	ww	hand-crafted	13,14,15	act/31	[0, 4)	8-16	0.0	all	29.89	65.52
with GT	qwen3.5-9b	ww	algorithm-generated	38,39,40	act/27	[1, 11)	0-2	1.0	all	43.39	59.26
with GT	qwen3.5-9b	ww	hand-crafted	13,14,15	act/31	[0, 5)	4-6	0.1	2	34.48	67.82
