Backbone	Method	WW-AG	WW-HC	CE	TE-Cap	TE-Mag
Qwen3.5-9B	All-at-Once	62.43	50.57		67.44	55.07
Qwen3.5-9B	Step-by-Step	25.40	42.53		55.04	74.64
Qwen3.5-9B	Binary Search	32.80	62.07		23.26	57.97
Qwen3.5-9B	CORRECT	58.20	40.23			
Qwen3.5-9B	CHIEF	52.38	52.87			
Qwen3.5-9B	RAFFLES	61.38	54.02			
Qwen3.5-9B	ErrorProbe	38.10	59.77		51.94	55.80
Qwen3.5-9B	ErrorProbe (backward)	29.63	62.07		18.60	56.52
Qwen3.5-9B	ErrorProbe (paper)	52.91	52.87		62.02	68.12
DeepSeek-R1-Distill-Llama-8B	All-at-Once	35.98	45.98		51.16	51.45
DeepSeek-R1-Distill-Llama-8B	Step-by-Step	46.56	19.54		34.11	41.30
DeepSeek-R1-Distill-Llama-8B	Binary Search	30.69	50.57		34.11	61.59
DeepSeek-R1-Distill-Llama-8B	CORRECT	57.67	48.28			
DeepSeek-R1-Distill-Llama-8B	CHIEF	30.69	51.72			
DeepSeek-R1-Distill-Llama-8B	RAFFLES	48.15	62.07			
DeepSeek-R1-Distill-Llama-8B	ErrorProbe	31.22	58.62		42.64	55.07
DeepSeek-R1-Distill-Llama-8B	ErrorProbe (backward)	35.98	62.07		20.93	56.52
DeepSeek-R1-Distill-Llama-8B	ErrorProbe (paper)	35.45	54.02		51.94	60.14
Qwen3.5-9B (weak)	All-at-Once					
Qwen3.5-9B (weak)	Step-by-Step					
Qwen3.5-9B (weak)	Binary Search					
Qwen3.5-9B (weak)	CORRECT					
Qwen3.5-9B (weak)	CHIEF					
Qwen3.5-9B (weak)	RAFFLES					
Qwen3.5-9B (weak)	ErrorProbe	41.27	59.77		41.86	52.90
Qwen3.5-9B (weak)	ErrorProbe (backward)	30.16	58.62		16.28	56.52
Qwen3.5-9B (weak)	ErrorProbe (paper)	53.44	65.52		55.04	58.70
